==============================================================================
FUNCTIONAL REDUNDANCY -- POST-SUBMISSION RE-MEASUREMENT
==============================================================================
source   : experiments/results_global_tau_range.json and others
recorded : see per-block source
machine  :
           Intel Core i7-11850H (Tiger Lake H, 8C/16T)
           L1d 48 KiB/core  L2 1.25 MiB/core  L3 24 MiB shared
           64 GiB RAM, Windows 11, onnxruntime 1.28.0 CPUExecutionProvider
           Python 3.12.8, numpy 2.4.6, torch 2.13.0+cpu, transformers 4.57.6
protocol :
           Share of FFN channels the cosine criterion endorses merging at a
           given tau, with the contribution gate at eps_thr = 0.5.
           One global tau applied to every layer: the removal share is the
           output, not an input.
           These runs apply the attention/padding mask that the runs in
           redundancy_reported.log omit, and they cover every layer rather
           than a sample. They were measured after the article was submitted
           and are not the figures it quotes; both are published so the
           difference is visible rather than implied.
==============================================================================


--- WHISPER-MEDIUM ENCODER (24 layers, 4096 FFN channels) ---
source: experiments/results_global_tau_range.json   recorded: 2026-08-31 22:16

  layer     t=0.99     t=0.95      t=0.9     t=0.85      t=0.8     t=0.75
     L0     26.51%     41.33%     50.73%     57.03%     64.04%     70.48%
     L1     47.80%     52.22%     57.74%     63.99%     66.65%     71.17%
     L2     53.86%     57.50%     60.60%     64.62%     69.73%     74.37%
     L3     53.93%     56.86%     59.84%     63.75%     69.46%     74.22%
     L4     46.04%     50.27%     53.66%     60.91%     67.48%     69.36%
     L5     35.72%     39.43%     42.65%     49.02%     56.62%     58.15%
     L6     24.39%     27.59%     29.69%     33.62%     38.60%     42.77%
     L7     18.07%     22.12%     23.46%     25.49%     29.10%     35.30%
     L8     22.85%     25.61%     26.61%     28.42%     31.96%     36.91%
     L9     15.58%     18.31%     19.78%     21.22%     23.49%     26.64%
    L10      6.79%     11.79%     13.16%     14.92%     17.94%     23.93%
    L11      2.37%      4.30%      5.05%      5.86%      8.79%     14.38%
    L12      0.00%      0.27%      1.25%      2.22%      4.76%     11.72%
    L13      0.00%      0.22%      0.88%      1.56%      4.35%      7.74%
    L14      0.00%      0.10%      0.42%      0.73%      1.78%      4.32%
    L15      0.00%      0.07%      0.29%      0.56%      1.10%      2.47%
